,Region/Group,Country Code,year,population,gdp,co2,co2_per_capita,co2_per_gdp,co2_per_unit_energy,energy_per_gdp
33655,North America,NAM,1977,359152719.0,,5591.318,15.736,0.749,0.231,
33656,North America,NAM,1978,364168538.0,,5677.353,15.758,0.719,0.229,
33657,North America,NAM,1979,369229436.0,,5792.686,15.858,0.706,0.231,
33658,North America,NAM,1980,374396442.0,,5620.345,15.174,0.679,0.227,
33659,North America,NAM,1981,379564350.0,,5494.563,14.632,0.644,0.227,
33660,North America,NAM,1982,384744466.0,,5262.526,13.825,0.629,0.225,
33661,North America,NAM,1983,389995263.0,,5202.27,13.483,0.601,0.223,
33662,North America,NAM,1984,395240034.0,,5460.077,13.963,0.591,0.223,
33663,North America,NAM,1985,400471532.0,,5463.63,13.789,0.57,0.222,
33664,North America,NAM,1986,405669381.0,,5448.31,13.574,0.553,0.22,
33665,North America,NAM,1987,410877346.0,,5654.344,13.908,0.555,0.221,
33666,North America,NAM,1988,416201789.0,,5903.792,14.336,0.557,0.221,
33667,North America,NAM,1989,421643638.0,,6015.955,14.419,0.549,0.22,
33668,North America,NAM,1990,427527961.0,,5988.813,14.156,0.537,0.219,
33669,North America,NAM,1991,433792302.0,,5934.664,13.825,0.532,0.217,
33670,North America,NAM,1992,440060880.0,,6060.854,13.917,0.525,0.218,
33671,North America,NAM,1993,446185587.0,,6165.8,13.963,0.52,0.217,
33672,North America,NAM,1994,452083590.0,,6289.066,14.056,0.509,0.216,
33673,North America,NAM,1995,457858561.0,,6349.006,14.01,0.504,0.214,
33674,North America,NAM,1996,463530240.0,,6569.388,14.318,0.502,0.214,
33675,North America,NAM,1997,469106558.0,,6686.24,14.399,0.488,0.216,
33676,North America,NAM,1998,474677555.0,,6757.986,14.382,0.471,0.217,
33677,North America,NAM,1999,480238626.0,,6853.051,14.415,0.456,0.216,
33678,North America,NAM,2000,485805119.0,,7098.336,14.758,0.452,0.218,
33679,North America,NAM,2001,491432288.0,,7009.265,14.405,0.442,0.22,
33680,North America,NAM,2002,497028237.0,,7060.732,14.345,0.437,0.218,
33681,North America,NAM,2003,502587581.0,,7174.326,14.413,0.432,0.221,
33682,North America,NAM,2004,508166865.0,,7274.384,14.452,0.422,0.219,
33683,North America,NAM,2005,513798973.0,,7321.313,14.384,0.41,0.219,
33684,North America,NAM,2006,519545237.0,,7258.981,14.102,0.394,0.218,
33685,North America,NAM,2007,525495111.0,,7363.736,14.141,0.392,0.217,
33686,North America,NAM,2008,531569985.0,,7131.514,13.537,0.379,0.215,
33687,North America,NAM,2009,537617445.0,,6649.442,12.479,0.363,0.209,
33688,North America,NAM,2010,543593306.0,,6863.159,12.736,0.364,0.21,
33689,North America,NAM,2011,549552423.0,,6765.769,12.417,0.352,0.207,
33690,North America,NAM,2012,555486379.0,,6581.796,11.949,0.334,0.205,
33691,North America,NAM,2013,561345646.0,,6716.957,12.065,0.335,0.205,
33692,North America,NAM,2014,567078661.0,,6754.753,12.008,0.328,0.204,
33693,North America,NAM,2015,572637311.0,,6604.085,11.624,0.313,0.201,
33694,North America,NAM,2016,578186325.0,,6467.17,11.272,0.301,0.197,
33695,North America,NAM,2017,583669315.0,,6417.92,11.079,0.292,0.194,
33696,North America,NAM,2018,589049568.0,,6597.806,11.283,0.292,0.194,
33697,North America,NAM,2019,594346833.0,,6493.359,11.004,0.281,0.192,
33698,North America,NAM,2020,598250660.0,,5826.628,9.809,0.262,0.186,
33699,North America,NAM,2021,600876352.0,,6192.752,10.379,0.263,0.188,
33700,North America,NAM,2022,604356251.0,,6267.443,10.443,0.26,0.19,
33701,North America,NAM,2023,608770557.0,,6123.55,10.128,,0.188,
34086,North America (excl. USA),NAM-XUSA,1960,,,291.927,3.401,0.553,,
34087,North America (excl. USA),NAM-XUSA,1961,,,297.569,3.376,0.543,,
34088,North America (excl. USA),NAM-XUSA,1962,,,315.585,3.486,0.544,,
34089,North America (excl. USA),NAM-XUSA,1963,,,316.158,3.4,0.514,,
34090,North America (excl. USA),NAM-XUSA,1964,,,357.28,3.739,0.535,,
34091,North America (excl. USA),NAM-XUSA,1965,,,372.267,3.792,0.526,0.217,
34092,North America (excl. USA),NAM-XUSA,1966,,,385.016,3.818,0.511,0.211,
34093,North America (excl. USA),NAM-XUSA,1967,,,421.599,4.07,0.534,0.222,
34094,North America (excl. USA),NAM-XUSA,1968,,,448.695,4.22,0.536,0.221,
34095,North America (excl. USA),NAM-XUSA,1969,,,466.472,4.276,0.529,0.216,
34096,North America (excl. USA),NAM-XUSA,1970,,,522.782,4.669,0.567,0.226,
34097,North America (excl. USA),NAM-XUSA,1971,,,550.458,4.79,0.569,0.23,
34098,North America (excl. USA),NAM-XUSA,1972,,,588.883,5.0,0.572,0.226,
34099,North America (excl. USA),NAM-XUSA,1973,,,611.685,5.072,0.554,0.217,
34100,North America (excl. USA),NAM-XUSA,1974,,,629.883,5.101,0.544,0.214,
34101,North America (excl. USA),NAM-XUSA,1975,,,649.737,5.141,0.542,0.222,
34102,North America (excl. USA),NAM-XUSA,1976,,,686.662,5.313,0.547,0.223,
34103,North America (excl. USA),NAM-XUSA,1977,,,701.365,5.311,0.539,0.215,
34104,North America (excl. USA),NAM-XUSA,1978,,,735.644,5.454,0.533,0.217,
34105,North America (excl. USA),NAM-XUSA,1979,,,783.73,5.691,0.535,0.221,
34106,North America (excl. USA),NAM-XUSA,1980,,,811.467,5.774,0.529,0.202,
34107,North America (excl. USA),NAM-XUSA,1981,,,807.82,5.637,0.5,0.197,
34108,North America (excl. USA),NAM-XUSA,1982,,,814.925,5.579,0.513,0.2,
34109,North America (excl. USA),NAM-XUSA,1983,,,772.559,5.19,0.487,0.192,
34110,North America (excl. USA),NAM-XUSA,1984,,,797.589,5.258,0.482,0.188,
34111,North America (excl. USA),NAM-XUSA,1985,,,810.691,5.246,0.474,0.185,
34112,North America (excl. USA),NAM-XUSA,1986,,,784.599,4.984,0.459,0.179,
34113,North America (excl. USA),NAM-XUSA,1987,,,828.332,5.165,0.471,0.183,
34114,North America (excl. USA),NAM-XUSA,1988,,,852.933,5.219,0.472,0.182,
34115,North America (excl. USA),NAM-XUSA,1989,,,883.411,5.304,0.473,0.184,
34116,North America (excl. USA),NAM-XUSA,1990,,,867.856,5.114,0.454,0.181,
34117,North America (excl. USA),NAM-XUSA,1991,,,871.707,5.044,0.45,0.18,
34118,North America (excl. USA),NAM-XUSA,1992,,,886.627,5.041,0.446,0.179,
34119,North America (excl. USA),NAM-XUSA,1993,,,892.95,4.99,0.438,0.178,
34120,North America (excl. USA),NAM-XUSA,1994,,,924.787,5.082,0.434,0.176,
34121,North America (excl. USA),NAM-XUSA,1995,,,923.746,4.994,0.436,0.173,
34122,North America (excl. USA),NAM-XUSA,1996,,,956.405,5.089,0.434,0.174,
34123,North America (excl. USA),NAM-XUSA,1997,,,998.098,5.229,0.427,0.179,
34124,North America (excl. USA),NAM-XUSA,1998,,,1024.706,5.288,0.417,0.183,
34125,North America (excl. USA),NAM-XUSA,1999,,,1049.134,5.336,0.407,0.183,
34126,North America (excl. USA),NAM-XUSA,2000,,,1088.201,5.455,0.397,0.182,
34127,North America (excl. USA),NAM-XUSA,2001,,,1101.525,5.445,0.395,0.187,
34128,North America (excl. USA),NAM-XUSA,2002,,,1114.424,5.433,0.389,0.183,
34129,North America (excl. USA),NAM-XUSA,2003,,,1164.18,5.601,0.397,0.19,
34130,North America (excl. USA),NAM-XUSA,2004,,,1161.729,5.517,0.38,0.184,
34131,North America (excl. USA),NAM-XUSA,2005,,,1189.13,5.575,0.374,0.182,
34132,North America (excl. USA),NAM-XUSA,2006,,,1206.296,5.584,0.361,0.183,
34133,North America (excl. USA),NAM-XUSA,2007,,,1233.613,5.636,0.356,0.182,
34134,North America (excl. USA),NAM-XUSA,2008,,,1216.395,5.483,0.343,0.178,
34135,North America (excl. USA),NAM-XUSA,2009,,,1168.716,5.198,0.339,0.176,
34136,North America (excl. USA),NAM-XUSA,2010,,,1183.444,5.195,0.328,0.176,
34137,North America (excl. USA),NAM-XUSA,2011,,,1219.653,5.286,0.324,0.176,
34138,North America (excl. USA),NAM-XUSA,2012,,,1237.71,5.296,0.32,0.177,
34139,North America (excl. USA),NAM-XUSA,2013,,,1236.8,5.227,0.313,0.174,
34140,North America (excl. USA),NAM-XUSA,2014,,,1226.072,5.122,0.301,0.172,
34141,North America (excl. USA),NAM-XUSA,2015,,,1227.612,5.073,0.294,0.172,
34142,North America (excl. USA),NAM-XUSA,2016,,,1214.238,4.965,0.285,0.171,
34143,North America (excl. USA),NAM-XUSA,2017,,,1205.758,4.88,0.276,0.166,
34144,North America (excl. USA),NAM-XUSA,2018,,,1220.009,4.886,0.272,0.167,
34145,North America (excl. USA),NAM-XUSA,2019,,,1231.214,4.88,0.271,0.17,
34146,North America (excl. USA),NAM-XUSA,2020,,,1112.0,4.368,0.263,0.165,
34147,North America (excl. USA),NAM-XUSA,2021,,,1160.539,4.524,0.26,0.167,
34148,North America (excl. USA),NAM-XUSA,2022,,,1188.572,4.595,0.258,0.185,
34149,North America (excl. USA),NAM-XUSA,2023,,,1212.159,4.642,,0.19,
35330,Oceania,OCE,1960,15862687.0,,100.299,6.363,0.554,,
35331,Oceania,OCE,1961,16216892.0,,100.183,6.217,0.545,,
35332,Oceania,OCE,1962,16560975.0,,103.294,6.277,0.533,,
35333,Oceania,OCE,1963,16904643.0,,109.55,6.522,0.532,,
35334,Oceania,OCE,1964,17254685.0,,118.718,6.925,0.542,,
35335,Oceania,OCE,1965,17617234.0,,129.477,7.398,0.561,0.253,
35336,Oceania,OCE,1966,17986085.0,,132.279,7.403,0.554,0.246,
35337,Oceania,OCE,1967,18332230.0,,138.611,7.611,0.555,0.246,
35338,Oceania,OCE,1968,18670230.0,,145.432,7.841,0.556,0.244,
35339,Oceania,OCE,1969,19033792.0,,153.719,8.129,0.55,0.249,
35340,Oceania,OCE,1970,19494207.0,,166.214,8.582,0.567,0.246,
35341,Oceania,OCE,1971,20036080.0,,170.642,8.573,0.557,0.24,
35342,Oceania,OCE,1972,20494153.0,,174.019,8.547,0.551,0.234,
35343,Oceania,OCE,1973,20866219.0,,193.62,9.341,0.58,0.244,
35344,Oceania,OCE,1974,21228272.0,,190.731,9.045,0.554,0.228,
35345,Oceania,OCE,1975,21555933.0,,196.82,9.193,0.56,0.231,
35346,Oceania,OCE,1976,21842496.0,,194.206,8.952,0.533,0.221,
35347,Oceania,OCE,1977,22114618.0,,207.572,9.451,0.57,0.226,
35348,Oceania,OCE,1978,22383482.0,,213.847,9.62,0.573,0.227,
35349,Oceania,OCE,1979,22653744.0,,213.96,9.511,0.547,0.219,
35350,Oceania,OCE,1980,22954479.0,,227.388,9.976,0.571,0.227,
35351,Oceania,OCE,1981,23307532.0,,235.792,10.19,0.569,0.232,
35352,Oceania,OCE,1982,23690694.0,,241.296,10.261,0.582,0.238,
35353,Oceania,OCE,1983,24064500.0,,230.603,9.656,0.553,0.229,
35354,Oceania,OCE,1984,24421099.0,,241.78,9.977,0.544,0.23,
35355,Oceania,OCE,1985,24777603.0,,251.882,10.246,0.543,0.234,
35356,Oceania,OCE,1986,25149865.0,,252.363,10.116,0.533,0.228,
35357,Oceania,OCE,1987,25544583.0,,264.348,10.434,0.536,0.233,
35358,Oceania,OCE,1988,25956456.0,,271.777,10.559,0.531,0.229,
35359,Oceania,OCE,1989,26377038.0,,287.94,11.01,0.541,0.232,
35360,Oceania,OCE,1990,26839396.0,,309.498,11.631,0.575,0.244,
35361,Oceania,OCE,1991,27315329.0,,311.623,11.507,0.581,0.246,
35362,Oceania,OCE,1992,27746645.0,,318.661,11.585,0.575,0.249,
35363,Oceania,OCE,1993,28154391.0,,322.915,11.57,0.556,0.246,
35364,Oceania,OCE,1994,28573082.0,,328.045,11.581,0.535,0.241,
35365,Oceania,OCE,1995,29025263.0,,339.531,11.8,0.532,0.242,
35366,Oceania,OCE,1996,29498696.0,,348.035,11.903,0.522,0.242,
35367,Oceania,OCE,1997,29964606.0,,358.497,12.072,0.515,0.244,
35368,Oceania,OCE,1998,30420065.0,,371.793,12.333,0.509,0.248,
35369,Oceania,OCE,1999,30880109.0,,382.561,12.503,0.5,0.247,
35370,Oceania,OCE,2000,31352964.0,,390.08,12.557,0.489,0.248,
35371,Oceania,OCE,2001,31847231.0,,400.358,12.686,0.488,0.252,
35372,Oceania,OCE,2002,32366012.0,,405.958,12.655,0.472,0.25,
35373,Oceania,OCE,2003,32894562.0,,415.715,12.749,0.466,0.254,
35374,Oceania,OCE,2004,33419057.0,,429.569,12.965,0.46,0.254,
35375,Oceania,OCE,2005,33956166.0,,434.553,12.906,0.449,0.257,
35376,Oceania,OCE,2006,34540357.0,,440.741,12.866,0.442,0.251,
35377,Oceania,OCE,2007,35190038.0,,448.667,12.853,0.428,0.25,
35378,Oceania,OCE,2008,35890356.0,,453.682,12.74,0.422,0.25,
35379,Oceania,OCE,2009,36593542.0,,452.965,12.473,0.412,0.253,
35380,Oceania,OCE,2010,37254081.0,,451.682,12.215,0.399,0.251,
35381,Oceania,OCE,2011,37890092.0,,450.4,11.974,0.386,0.244,
35382,Oceania,OCE,2012,38550533.0,,453.473,11.848,0.375,0.248,
35383,Oceania,OCE,2013,39233928.0,,446.241,11.454,0.361,0.241,
35384,Oceania,OCE,2014,39918740.0,,442.859,11.17,0.349,0.236,
35385,Oceania,OCE,2015,40615011.0,,452.079,11.206,0.348,0.236,
35386,Oceania,OCE,2016,41347228.0,,460.608,11.213,0.344,0.239,
35387,Oceania,OCE,2017,42093978.0,,465.37,11.126,0.339,0.241,
35388,Oceania,OCE,2018,42815507.0,,468.624,11.013,0.332,0.24,
35389,Oceania,OCE,2019,43504533.0,,470.051,10.87,0.326,0.233,
35390,Oceania,OCE,2020,44079302.0,,449.667,10.262,0.317,0.238,
35391,Oceania,OCE,2021,44558538.0,,439.662,9.925,0.294,0.233,
35392,Oceania,OCE,2022,45049682.0,,433.029,9.668,0.28,0.229,
35393,Oceania,OCE,2023,45563133.0,,430.303,9.499,,0.225,
42444,South America,SAM,1960,148441131.0,,199.141,1.342,0.273,,
42445,South America,SAM,1961,152563386.0,,201.756,1.323,0.259,,
42446,South America,SAM,1962,156774162.0,,215.63,1.376,0.265,,
42447,South America,SAM,1963,161065586.0,,219.379,1.362,0.266,,
42448,South America,SAM,1964,165413056.0,,230.148,1.392,0.262,,
42449,South America,SAM,1965,169787369.0,,240.093,1.414,0.26,0.234,
42450,South America,SAM,1966,174174977.0,,251.989,1.447,0.261,0.23,
42451,South America,SAM,1967,178570548.0,,267.328,1.497,0.267,0.235,
42452,South America,SAM,1968,182977286.0,,287.605,1.572,0.271,0.237,
42453,South America,SAM,1969,187410584.0,,311.235,1.661,0.274,0.245,
42454,South America,SAM,1970,191855152.0,,337.826,1.761,0.276,0.252,
42455,South America,SAM,1971,196342424.0,,346.539,1.765,0.265,0.242,
42456,South America,SAM,1972,200916855.0,,362.557,1.805,0.26,0.236,
42457,South America,SAM,1973,205568583.0,,392.667,1.911,0.259,0.232,
42458,South America,SAM,1974,210289337.0,,416.53,1.981,0.258,0.228,
42459,South America,SAM,1975,215072893.0,,411.658,1.915,0.247,0.222,
42460,South America,SAM,1976,219943056.0,,419.329,1.907,0.236,0.21,
42461,South America,SAM,1977,224941177.0,,434.808,1.934,0.233,0.205,
42462,South America,SAM,1978,230063999.0,,462.11,2.009,0.24,0.206,
42463,South America,SAM,1979,235280219.0,,494.336,2.102,0.243,0.204,
42464,South America,SAM,1980,240599662.0,,508.354,2.113,0.237,0.195,
42465,South America,SAM,1981,246004194.0,,489.719,1.991,0.233,0.188,
42466,South America,SAM,1982,251463263.0,,490.87,1.953,0.236,0.184,
42467,South America,SAM,1983,256993741.0,,485.836,1.891,0.239,0.18,
42468,South America,SAM,1984,262567860.0,,491.463,1.872,0.233,0.175,
42469,South America,SAM,1985,268127334.0,,501.803,1.872,0.231,0.171,
42470,South America,SAM,1986,273653737.0,,529.759,1.937,0.227,0.17,
42471,South America,SAM,1987,279159635.0,,557.252,1.997,0.231,0.172,
42472,South America,SAM,1988,284663491.0,,580.267,2.039,0.238,0.174,
42473,South America,SAM,1989,290157635.0,,579.758,1.999,0.238,0.171,
42474,South America,SAM,1990,295639581.0,,598.211,2.024,0.248,0.175,
42475,South America,SAM,1991,301035778.0,,605.973,2.014,0.239,0.172,
42476,South America,SAM,1992,306386107.0,,618.012,2.018,0.235,0.169,
42477,South America,SAM,1993,311712466.0,,652.646,2.095,0.237,0.171,
42478,South America,SAM,1994,316983659.0,,655.497,2.069,0.225,0.162,
42479,South America,SAM,1995,322239767.0,,689.45,2.14,0.227,0.163,
42480,South America,SAM,1996,327454410.0,,719.745,2.199,0.229,0.163,
42481,South America,SAM,1997,332642671.0,,766.817,2.306,0.231,0.165,
42482,South America,SAM,1998,337868223.0,,791.004,2.342,0.234,0.165,
42483,South America,SAM,1999,343039486.0,,812.984,2.371,0.242,0.17,
42484,South America,SAM,2000,348018740.0,,812.434,2.336,0.233,0.165,
42485,South America,SAM,2001,352811862.0,,792.003,2.246,0.224,0.162,
42486,South America,SAM,2002,357458484.0,,819.945,2.295,0.23,0.166,
42487,South America,SAM,2003,361970821.0,,820.536,2.268,0.224,0.165,
42488,South America,SAM,2004,366372163.0,,856.859,2.34,0.217,0.163,
42489,South America,SAM,2005,370696354.0,,881.497,2.379,0.211,0.162,
42490,South America,SAM,2006,374925359.0,,909.106,2.426,0.204,0.159,
42491,South America,SAM,2007,379035649.0,,943.891,2.492,0.197,0.157,
42492,South America,SAM,2008,383025005.0,,987.699,2.58,0.195,0.159,
42493,South America,SAM,2009,386904373.0,,961.25,2.486,0.191,0.156,
42494,South America,SAM,2010,390701115.0,,1072.223,2.746,0.198,0.166,
42495,South America,SAM,2011,394477911.0,,1089.016,2.762,0.19,0.162,
42496,South America,SAM,2012,398255314.0,,1143.937,2.874,0.195,0.163,
42497,South America,SAM,2013,402022549.0,,1208.386,3.008,0.199,0.169,
42498,South America,SAM,2014,405812430.0,,1224.246,3.019,0.201,0.169,
42499,South America,SAM,2015,409619968.0,,1195.139,2.92,0.199,0.167,
42500,South America,SAM,2016,413395033.0,,1146.174,2.774,0.196,0.161,
42501,South America,SAM,2017,417045358.0,,1130.036,2.711,0.192,0.158,
42502,South America,SAM,2018,420440406.0,,1077.71,2.565,0.183,0.152,
42503,South America,SAM,2019,423548289.0,,1084.626,2.563,0.185,0.155,
42504,South America,SAM,2020,426213551.0,,979.441,2.3,0.178,0.151,
42505,South America,SAM,2021,428331420.0,,1079.731,2.523,0.183,0.154,
42506,South America,SAM,2022,430492814.0,,1096.153,2.548,0.179,0.155,
42507,South America,SAM,2023,433024230.0,,1108.965,2.563,,0.152,
49505,World,WLD,1960,3015470890.0,13338076512256.0,9387.011,3.113,0.704,,
49506,World,WLD,1961,3064869656.0,,9415.042,3.072,,,
49507,World,WLD,1962,3123374299.0,,9747.287,3.121,,,
49508,World,WLD,1963,3192807820.0,,10266.772,3.216,,,
49509,World,WLD,1964,3264487340.0,,10824.466,3.316,,,
49510,World,WLD,1965,3334533717.0,,11310.601,3.392,,0.261,
49511,World,WLD,1966,3404041107.0,,11862.646,3.485,,0.259,
49512,World,WLD,1967,3473412894.0,,12237.369,3.523,,0.258,
49513,World,WLD,1968,3545187239.0,,12905.283,3.64,,0.257,
49514,World,WLD,1969,3619491592.0,,13761.785,3.802,,0.256,
49515,World,WLD,1970,3694683801.0,21941933047808.0,14899.124,4.033,0.679,0.261,2.605
49516,World,WLD,1971,3769847834.0,,15503.854,4.113,,0.261,
49517,World,WLD,1972,3844917687.0,,16224.597,4.22,,0.259,
49518,World,WLD,1973,3920805030.0,,17085.094,4.358,,0.258,
49519,World,WLD,1974,3996416108.0,,17011.072,4.257,,0.255,
49520,World,WLD,1975,4070735264.0,,17052.752,4.189,,0.254,
49521,World,WLD,1976,4144246391.0,,17989.111,4.341,,0.254,
49522,World,WLD,1977,4217863819.0,,18498.635,4.386,,0.252,
49523,World,WLD,1978,4292097508.0,,19069.291,4.443,,0.25,
49524,World,WLD,1979,4368539472.0,,19609.02,4.489,,0.249,
49525,World,WLD,1980,4447606208.0,31982614478848.0,19488.523,4.382,0.609,0.25,2.439
49526,World,WLD,1981,4528777285.0,,19022.902,4.2,,0.245,
49527,World,WLD,1982,4612673436.0,,18871.098,4.091,,0.244,
49528,World,WLD,1983,4697327604.0,,18991.91,4.043,,0.242,
49529,World,WLD,1984,4782175500.0,,19647.801,4.109,,0.239,
49530,World,WLD,1985,4868943460.0,,20311.902,4.172,,0.241,
49531,World,WLD,1986,4958072822.0,,20614.963,4.158,,0.239,
49532,World,WLD,1987,5049746378.0,,21250.074,4.208,,0.238,
49533,World,WLD,1988,5141992550.0,,22085.131,4.295,,0.238,
49534,World,WLD,1989,5234431714.0,,22386.637,4.277,,0.237,
49535,World,WLD,1990,5327803075.0,43033605177344.0,22728.988,4.266,0.528,0.238,2.22
49536,World,WLD,1991,5418735879.0,,23186.102,4.279,,0.241,
49537,World,WLD,1992,5505989821.0,,22528.172,4.092,,0.233,
49538,World,WLD,1993,5591544841.0,,22755.787,4.07,,0.233,
49539,World,WLD,1994,5675551281.0,,22992.947,4.051,,0.232,
49540,World,WLD,1995,5758878997.0,,23532.084,4.086,,0.233,
49541,World,WLD,1996,5842055726.0,,24258.168,4.152,,0.233,
49542,World,WLD,1997,5924787787.0,,24401.906,4.119,,0.232,
49543,World,WLD,1998,6007066714.0,,24303.777,4.046,,0.23,
49544,World,WLD,1999,6089006330.0,,24853.729,4.082,,0.231,
49545,World,WLD,2000,6171703018.0,59897668435968.0,25510.553,4.133,0.426,0.231,1.843
49546,World,WLD,2001,6254936479.0,,25706.293,4.11,,0.231,
49547,World,WLD,2002,6337730319.0,,26276.869,4.146,,0.231,
49548,World,WLD,2003,6420361649.0,,27669.49,4.31,,0.235,
49549,World,WLD,2004,6503377778.0,,28632.506,4.403,,0.231,
49550,World,WLD,2005,6586970145.0,,29614.395,4.496,,0.232,
49551,World,WLD,2006,6671452018.0,,30628.396,4.591,,0.233,
49552,World,WLD,2007,6757308750.0,,31534.645,4.667,,0.233,
49553,World,WLD,2008,6844457675.0,,32074.199,4.686,,0.234,
49554,World,WLD,2009,6932766459.0,,31541.922,4.55,,0.234,
49555,World,WLD,2010,7021732131.0,89807707439104.0,33355.902,4.75,0.371,0.236,1.575
49556,World,WLD,2011,7110923797.0,,34504.539,4.852,,0.238,
49557,World,WLD,2012,7201202531.0,,35000.02,4.86,,0.239,
49558,World,WLD,2013,7291793608.0,,35301.656,4.841,,0.236,
49559,World,WLD,2014,7381616239.0,,35450.094,4.802,,0.235,
49560,World,WLD,2015,7470491904.0,106871830609920.0,35404.898,4.739,0.331,0.233,1.423
49561,World,WLD,2016,7558554580.0,110407201062912.0,35416.656,4.686,0.321,0.231,1.391
49562,World,WLD,2017,7645618013.0,114529589526528.0,35989.898,4.707,0.314,0.229,1.373
49563,World,WLD,2018,7729902724.0,118765811400704.0,36730.426,4.752,0.309,0.227,1.36
49564,World,WLD,2019,7811293714.0,122149364826112.0,37104.273,4.75,0.304,0.227,1.337
49565,World,WLD,2020,7887001284.0,118590019731456.0,35126.527,4.454,0.296,0.223,1.33
49566,World,WLD,2021,7954448405.0,126004794228736.0,36991.734,4.65,0.294,0.223,1.315
49567,World,WLD,2022,8021407170.0,130112561348608.0,37293.836,4.649,0.287,0.221,1.297
49568,World,WLD,2023,8091734935.0,,37791.57,4.67,,0.22,
